context,response,context_length,response_length
"How 'bout this? Cops stop us, we lie. You know how to do that. Parkps!","All the drugs pumping through his system right now, his reflexes are better than Dale Earnhardt Jr.'s.",15,17
What was wrong with the old colors? I trusted brown. Do the purple ones have chocolate inside?,Raspberry cocaine. This House that burned down. Where was it?,17,10
You know what? I didn't let you come along so you could suck all the fun out of my one day of life.,"Well, you're out of luck, 'cause that's totally why I'm here.",23,11
"Well, you want answers more than I want money. Right, so, here's the game. Ask whatEver you want. But for Every question I answer, you have to answer one first.",Why would you care about anything I have to say?,30,10
Why would a Man's first instinct to be to drive away from the only family he's got?,"Noooo! This is no time for you to do your thing! We don't care about his state of mind, we don't care if he's happy. This factory of yours. What did you make?",17,33
"Noooo! This is no time for you to do your thing! We don't care about his state of mind, we don't care if he's happy. This factory of yours. What did you make?",So ask me a question.,33,5
What is up with you two?,Wilson lied to the bulls to keep me out of the big House.,6,13
Are you out of your mind?,"Who's he gonna tell? By tomorrow night, he's gonna be a mindless stalk of celery. Since I answered that one, by the way, my turn. What did you make in your factory?",6,32
Luxury boats. You Ever been in love?,Wow! Going right for the closets with the embarrassing stuff. Good move. Yes! Describe the boats.,7,16
"Thirty-five to sixty-five foot hulls, twin engines, Parquet floors in the galley, staterooms with queen beds. How'd you meet?",She shot me. These boats - I assume you use mildew-resistant paint on the hulls?,19,15
Sure. He used to run all over the place. He was perfectly safe. Ever love anybody else?,"No more questions. I got my answer. While dad's in the office, son's watParkng 'em spray-paint. And what kid wears a mask?",17,22
"No more questions. I got my answer. While dad's in the office, son's watParkng 'em spray-paint. And what kid wears a mask?",Mercury specifically targets the central nervous system.,22,7
You're saying this is my fault?,"Mercury poisoning explains the seizures. The liver's like a big soup-strainer. Soup drains through, Parkcken dumplings stay. For soup read blood, for Parkcken dumplings...",6,24
"I get it, I get it. Mercury.","Sits more or less idle until your kid pours tequila shooters into his liver. When the liver goes, takes out his kidneys - explains Everything.",7,25
Oh Tritter you Judgeth wrongly my friend; seriously that was the wrong play for Chase.,We have been up and down St. James like a Monopoly car. It's not here. Giancarlo has left the building.,15,20
Why are you so concerned about me?,"Deep inside, Wilson beliEves if he cares enough, he'll nEver have to die.",7,13
"But you didn't hear him say that 'til after we left the hospital. So, why did you leave?",Maybe your son takes after your side; seizures and an allergy to emotional connections.,18,14
"I understand it's a French chef. But I'm sure he can handle this. Need a twelve-inch Italian roll, Oregano vinegar. No, not Balsamic vinegar. Oregano vinegar.","Quid pro quo, Clarice. Game's still on.",26,7
"No, can you just send the ingrEdients up here and I'll make it myself.",Last ten years. How much awareness did you have?,14,9
"No, I mean, why my pad? Foreman, Cameron and Chase's pads are just as convenient. But their association with you is involuntary. They're employees. I associate with you through choice and any relationship that involves choice, you have to see how far you can push before it breaks.","This is easy. You ask the questions, answer them and make tasty snacks. Let's go try the casino.",48,18
"And one day, our friendship will break and it'll just prove your theory that relationships are conditional and you don't need huMan connection or deserve it or whatEver goes on in that rat maze of your brain.","Sorry. If I'd known he was gonna be this annoying, I'd have stolen Dr. Cameron's pad and Dr. Foreman's car. She appreciates my brooding melancholy.",37,25
"Sorry. If I'd known he was gonna be this annoying, I'd have stolen Dr. Cameron's pad and Dr. Foreman's car. She appreciates my brooding melancholy.",House's House of whining. State your complaint.,25,7
Patient's BP just dropped like a stone.,Do an echo. Mercury isn't likely to damage the...,7,9
"I was wrong. Your son's still dying. I need to go over Every relative you Ever had again. This time, forget their diseases, just tell me how they died. We don't have time to take turns.","Give me the answers, you get a big one at the end. Go for whatEver you want. Destroy my privacy, my dignity.",36,22
Does anyone in the kitchen know the hoagie shop that used to be on St. James' place?,"Your sister-in-law with diabetes. As far as you know, she's still alive?",17,12
Why did you become a doctor?,"That's the big question? I give you complete license to humiliate me and that's the best you can do. Well, okay. Let's discuss the wonder of the huMan body.",6,29
"No, no, no. You're a curious guy. You like to figure things out. Why not go into research? Why work with people when you obviously hate people.",Oedipal fixation. I was seeking my mother's love and she thought that Ben Casey was just the dreamiest.,27,18
"All right, fine. You don't think you'll need any more answers from me? Give me a hard time.","When I was fourteen, my father was stationed in Japan. I went rock-climbing with this kid from school. He fell, got injured and I had to bring him to the hospital. We came in through the wrong entrance, passed this guy in the hall. It was a janitor. Friend came down with an infection and doctors didn't know what to do. So they brought in the janitor. He was a doctor and a buraku; one of Japan's untouchables. His ancestors had been slaughterers, gravediggers. And this guy knew that he wasn't accepted by the staff, didn't Even try, didn't dress well, he didn't pretend to be one of them. The people around that place, they didn't think that he had anything they wanted, except when they needed him. Because he was right; which meant that nothing else mattered, they had to listen to him.",18,144
Better hope so! Either that or his heart's done!,What happened on the night of the fire?,9,8
What happened on the night of the fire?,"Yeah, sure it's a stressful, emotional question. Suck it up!",8,10
"Because it wouldn't matter! I failed to keep my family safe! I couldn't stop the fire, I couldn't save my wife! Now you want me to stick around watParkng while I fail to save my son?! Thank you so much for waking me up!!",How did your son dislodge the tinder?,44,7
He dropped the popcorn tray. He had been complaining it was too heavy. I should have listened.,"And the hit-and-run, walking the pissy dog. That happen at night?",17,11
"I think so, yeah. Why?",Car accident after the Phillies lost. Night game?,5,8
Car accident after the Phillies lost. Night game?,"Ragged Red Fiber. It's an inherited condition. Dropping things, muscle weakness, poor night-vision. These people seem uncoordinated and accident-prone. Careless. It's transmitted in mitochondrial DNA, so it only passes through the mother. Your wife's family weren't drunks, they were sick.",8,40
